Source Site Type,Target Site Type,Relationship Role,Source Site Name (Italian),Source Site Name (English),Source Modern Municipality,Source Modern Province,Source Historical Region,Source Site Dedication Subject(s),Source Monastic Affiliation,Target Site Name (Italian),Target Site Name (English),Target Modern Municipality,Target Modern Province,Target Historical Region,Target Site Dedication Subject(s)
Monasteries,Churches,Dependent or Possession of,Santa Maria e i Dodici Apostoli,Saint Mary and the Twelve Apostles,,,,the Virgin Mary and the Twelve Apostles,Augustinian Canons,La Cattedrale di Santissimo Salvatore e Santi Pietro e Paolo,The Cathedral Church of the Most Holy Savior and Saints Peter and Paul,Cefalù,Palermo,Val di Mazara,"Christ, Saint Peter and Saint Paul"
Monasteries,Churches,Dependent or Possession of,San Giovanni di Rocella,Saint John of Rocella,Campofelice di Roccella,Palermo,Val di Mazara,Saint John (the Baptist?),,La Cattedrale di Santissimo Salvatore e Santi Pietro e Paolo,The Cathedral Church of the Most Holy Savior and Saints Peter and Paul,Cefalù,Palermo,Val di Mazara,"Christ, Saint Peter and Saint Paul"
Monasteries,Monasteries,Dependent or Possession of,San Giovanni di Rocella,Saint John of Rocella,Campofelice di Roccella,Palermo,Val di Mazara,Saint John (the Baptist?),,Santissima Trinità di San Michele Arcangelo di Mileto,Holy Trinity and Saint Michael the Archangel of Mileto,,,,Saint Michael the Archangel then the Holy Trinity
Monasteries,Monasteries,Dependent or Possession of,San Michele Arcangelo,Saint Michael the Archangel,Petralia Soprana,Palermo,Val di Mazara,Saint Michael the Archangel,Benedictines,Santa Maria della Cava,Saint Mary of Cava,Geraci Siculo,Palermo,Val Demone,the Virgin Mary
Monasteries,Monasteries,Colonized by,San Michele Arcangelo,Saint Michael the Archangel,Petralia Soprana,Palermo,Val di Mazara,Saint Michael the Archangel,Benedictines,Santissima Trinità della Cava,Holy Trinity at Cava,,,,the Holy Trinity
Monasteries,Monasteries,Dependent or Possession of,Santa Maria di Monte Maggiore,Saint Mary of Monte Maggiore,Montemaggiore Belsito,Palermo,Val di Mazara,the Virgin Mary,Cluniacs,Cluny,Cluny,,,,the Virgin Mary
Churches,Monasteries,Dependent or Possession of,La Chiesa di San Leonardo,Church of Saint Leonard,Isnello,Palermo,Val di Mazara,Saint Leonard,,San Giorgio di Gratteri,Saint George of Gratteri,Gratteri,Palermo,Val Demone,Saint George
Churches,Monasteries,Dependent or Possession of,La Chiesa di San Cataldo,Church of Saint Catald,Partinico,Palermo,Val di Mazara,Saint Catald,,San Giorgio di Gratteri,Saint George of Gratteri,Gratteri,Palermo,Val Demone,Saint George
Churches,Monasteries,Dependent or Possession of,La Chiesa di San Pietro di Prate Gangi,Church of Saint Peter of Prate Gangi,Gangi?,Palermo,Val di Mazara,Saint Peter,,San Giorgio di Gratteri,Saint George of Gratteri,Gratteri,Palermo,Val Demone,Saint George
Churches,Monasteries,Dependent or Possession of,La Chiesa di San Nicola,Church of Saint Nicholas,Gratteri,Palermo,Val di Mazara,Saint Nicholas,,San Giorgio di Gratteri,Saint George of Gratteri,Gratteri,Palermo,Val Demone,Saint George
Churches,Churches,Dependent or Possession of,La Chiesa di San Lorenzo,Church of Saint Lawrence,Sciacca,Agrigento,Val di Mazara,Saint Lawrence,,La Cappella di San Pietro,Chapel of Saint Peter,Palermo,Palermo,Val di Mazara,Saint Peter
Churches,Monasteries,Dependent or Possession of,La Chiesa di San Lorenzo,Church of Saint Lawrence,Sciacca,Agrigento,Val di Mazara,Saint Lawrence,,San Lorenzo,Saint Lawrence,,,,Saint Lawrence
Monasteries,Monasteries,Dependent or Possession of,Sconosciuto,Unknown,Scordia,Catania,Val di Noto,,Poor Knights of Christ and of the Temple of Solomon (Templars),Il Tempio di Salomone,Temple of Solomon,,,,
